,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_SCORE,segment
195,29.0,2.0,646.6800000000001,4,2,3,42,potential_loyalists
196,212.0,2.0,9182.345,1,2,5,12,hibernating
197,318.0,1.0,452.84999999999997,1,1,2,11,hibernating
198,93.0,2.0,437.6,2,2,2,22,hibernating
199,109.0,3.0,418.0999999999999,2,3,2,23,at_Risk
200,38.0,10.0,3338.2200000000003,3,5,5,35,loyal_customers
201,52.0,2.0,618.27,3,2,3,32,about_to_sleep
202,20.0,4.0,3811.2199999999993,4,4,5,44,loyal_customers
203,10.0,8.0,3023.08,5,5,5,55,champions
204,30.0,7.0,1032.5800000000004,4,5,4,45,loyal_customers
205,29.0,10.0,2599.04,4,5,5,45,loyal_customers
206,190.0,5.0,574.1700000000001,1,4,3,14,at_Risk
207,59.0,1.0,153.12,3,1,1,31,about_to_sleep
208,22.0,1.0,739.1999999999999,4,1,3,41,promising
209,80.0,2.0,254.17999999999998,2,2,2,22,hibernating
210,61.0,1.0,1579.51,3,1,4,31,about_to_sleep
211,79.0,3.0,1126.8500000000001,2,3,4,23,at_Risk
212,23.0,5.0,2081.9,4,4,5,44,loyal_customers
213,53.0,1.0,1193.32,3,1,4,31,about_to_sleep
214,75.0,1.0,704.04,2,1,3,21,hibernating
215,58.0,5.0,3344.38,3,4,5,34,loyal_customers
216,278.0,1.0,315.59999999999997,1,1,2,11,hibernating
217,3.0,4.0,2291.1899999999996,5,4,5,54,champions
218,96.0,2.0,713.3,2,2,3,22,hibernating
219,30.0,1.0,352.97999999999996,4,1,2,41,promising
220,22.0,1.0,174.37,4,1,1,41,promising
221,17.0,9.0,3288.62,4,5,5,45,loyal_customers
222,15.0,3.0,1339.41,4,3,4,43,potential_loyalists
223,2.0,20.0,13688.425,5,5,5,55,champions
224,233.0,1.0,180.09999999999997,1,1,1,11,hibernating
225,277.0,1.0,305.1,1,1,2,11,hibernating
226,107.0,2.0,641.13,2,2,3,22,hibernating
227,212.0,2.0,2683.82,1,2,5,12,hibernating
228,24.0,9.0,6620.48,4,5,5,45,loyal_customers
229,11.0,7.0,4478.530000000001,5,5,5,55,champions
230,5.0,3.0,786.4599999999999,5,3,3,53,potential_loyalists
231,10.0,2.0,1253.2400000000002,5,2,4,52,potential_loyalists
232,58.0,1.0,628.74,3,1,3,31,about_to_sleep
233,59.0,4.0,2163.98,3,4,5,34,loyal_customers
234,90.0,2.0,1689.1800000000003,2,2,4,22,hibernating
235,68.0,8.0,6002.9,3,5,5,35,loyal_customers
236,34.0,1.0,659.9300000000001,3,1,3,31,about_to_sleep
237,239.0,1.0,477.28000000000003,1,1,2,11,hibernating
238,24.0,3.0,1174.58,4,3,4,43,potential_loyalists
239,116.0,1.0,182.96,2,1,1,21,hibernating
240,26.0,3.0,1013.26,4,3,4,43,potential_loyalists
241,129.0,6.0,2942.2650000000003,2,5,5,25,cant_loose
242,130.0,1.0,477.90999999999997,2,1,2,21,hibernating
243,34.0,4.0,1775.1800000000003,3,4,4,34,loyal_customers
244,5.0,2.0,1346.97,5,2,4,52,potential_loyalists
245,23.0,12.0,3722.82,4,5,5,45,loyal_customers
246,155.0,1.0,318.04999999999995,2,1,2,21,hibernating
247,108.0,3.0,623.51,2,3,3,23,at_Risk
248,4.0,1.0,314.44,5,1,2,51,new_customers
249,335.0,1.0,114.0,1,1,1,11,hibernating
250,332.0,1.0,919.98,1,1,3,11,hibernating
251,149.0,2.0,2209.85,2,2,5,22,hibernating
252,11.0,5.0,601.9799999999999,5,4,3,54,champions
253,18.0,5.0,4051.17,4,4,5,44,loyal_customers
254,12.0,4.0,1643.18,5,4,4,54,champions
255,19.0,1.0,686.05,4,1,3,41,promising
256,30.0,1.0,91.68,4,1,1,41,promising
257,12.0,1.0,245.10000000000002,5,1,2,51,new_customers
258,1.0,11.0,3849.7799999999997,5,5,5,55,champions
259,9.0,9.0,4852.4800000000005,5,5,5,55,champions
260,325.0,1.0,63.0,1,1,1,11,hibernating
261,59.0,1.0,608.3700000000001,3,1,3,31,about_to_sleep
262,12.0,4.0,3807.15,5,4,5,54,champions
263,151.0,3.0,1644.79,2,3,4,23,at_Risk
264,11.0,5.0,2996.0500000000006,5,4,5,54,champions
265,330.0,1.0,225.9,1,1,1,11,hibernating
266,6.0,2.0,610.52,5,2,3,52,potential_loyalists
267,39.0,4.0,1970.6000000000001,3,4,4,34,loyal_customers
268,25.0,6.0,1313.75,4,5,4,45,loyal_customers
269,43.0,12.0,15775.345000000001,3,5,5,35,loyal_customers
270,59.0,4.0,1113.02,3,4,4,34,loyal_customers
271,1.0,4.0,862.8100000000002,5,4,3,54,champions
272,15.0,22.0,13787.54,4,5,5,45,loyal_customers
273,4.0,31.0,12279.82,5,5,5,55,champions
274,5.0,15.0,8476.57,5,5,5,55,champions
275,8.0,7.0,2283.63,5,5,5,55,champions
276,29.0,6.0,2863.08,4,5,5,45,loyal_customers
277,372.0,1.0,89.14,1,1,1,11,hibernating
278,114.0,1.0,4729.99,2,1,5,21,hibernating
279,26.0,2.0,1247.61,4,2,4,42,potential_loyalists
280,206.0,1.0,389.01,1,1,2,11,hibernating
281,29.0,6.0,1035.8,4,5,4,45,loyal_customers
282,128.0,4.0,855.91,2,4,3,24,at_Risk
283,71.0,2.0,869.67,3,2,3,32,about_to_sleep
284,8.0,4.0,582.1,5,4,3,54,champions
285,29.0,3.0,942.8899999999999,4,3,4,43,potential_loyalists
286,8.0,4.0,4939.99,5,4,5,54,champions
287,80.0,2.0,797.71,2,2,3,22,hibernating
288,20.0,1.0,219.0,4,1,1,41,promising
289,72.0,1.0,283.55,3,1,2,31,about_to_sleep
290,8.0,8.0,2296.74,5,5,5,55,champions
291,16.0,9.0,6868.290000000001,4,5,5,45,loyal_customers
292,292.0,1.0,603.42,1,1,3,11,hibernating
293,30.0,10.0,2712.91,4,5,5,45,loyal_customers
294,16.0,15.0,9706.52,4,5,5,45,loyal_customers
295,97.0,3.0,1149.0200000000002,2,3,4,23,at_Risk
296,29.0,13.0,4396.13,4,5,5,45,loyal_customers
297,1.0,1.0,848.5500000000001,5,1,3,51,new_customers
298,10.0,5.0,4708.860000000001,5,4,5,54,champions
299,107.0,1.0,337.47999999999996,2,1,2,21,hibernating
300,4.0,2.0,1053.4900000000002,5,2,4,52,potential_loyalists
301,152.0,2.0,976.3299999999999,2,2,4,22,hibernating
302,72.0,1.0,238.25,3,1,1,31,about_to_sleep
303,6.0,2.0,644.95,5,2,3,52,potential_loyalists
304,3.0,25.0,5781.730000000001,5,5,5,55,champions
305,32.0,6.0,2656.13,4,5,5,45,loyal_customers
306,86.0,4.0,997.6300000000001,2,4,4,24,at_Risk
307,4.0,5.0,725.07,5,4,3,54,champions
308,6.0,4.0,1031.4099999999999,5,4,4,54,champions
309,372.0,1.0,427.8,1,1,2,11,hibernating
310,29.0,7.0,2609.1,4,5,5,45,loyal_customers
311,11.0,7.0,3980.7000000000003,5,5,5,55,champions
312,72.0,4.0,836.3299999999999,3,4,3,34,loyal_customers
313,114.0,1.0,453.01000000000005,2,1,2,21,hibernating
314,24.0,12.0,18895.91,4,5,5,45,loyal_customers
315,180.0,1.0,236.26000000000005,2,1,1,21,hibernating
316,235.0,1.0,383.95000000000005,1,1,2,11,hibernating
317,353.0,1.0,110.39999999999999,1,1,1,11,hibernating
318,316.0,2.0,779.57,1,2,3,12,hibernating
319,333.0,1.0,234.00000000000003,1,1,1,11,hibernating
320,373.0,1.0,155.35,1,1,1,11,hibernating
321,79.0,2.0,1012.6000000000001,2,2,4,22,hibernating
322,64.0,1.0,427.59999999999997,3,1,2,31,about_to_sleep
323,135.0,2.0,540.13,2,2,3,22,hibernating
324,52.0,7.0,9175.990000000002,3,5,5,35,loyal_customers
325,3.0,11.0,4196.009999999999,5,5,5,55,champions
326,1.0,73.5,31713.870000000003,5,5,5,55,champions
327,4.0,5.0,4077.9399999999996,5,4,5,54,champions
328,129.0,1.0,275.88,2,1,2,21,hibernating
329,82.0,1.0,4366.780000000001,2,1,5,21,hibernating
330,23.0,6.0,21429.39,4,5,5,45,loyal_customers
331,236.0,3.0,2038.98,1,3,5,13,at_Risk
332,281.0,2.0,778.725,1,2,3,12,hibernating
333,87.0,1.0,112.08000000000001,2,1,1,21,hibernating
334,16.0,13.0,4383.49,4,5,5,45,loyal_customers
335,117.0,2.0,2791.59,2,2,5,22,hibernating
336,53.0,3.0,1531.4400000000003,3,3,4,33,need_attention
337,8.0,2.0,1898.5200000000004,5,2,4,52,potential_loyalists
338,139.0,2.0,494.08000000000004,2,2,3,22,hibernating
339,317.0,1.0,1693.88,1,1,4,11,hibernating
340,4.0,7.0,6989.63,5,5,5,55,champions
341,239.0,1.0,1143.6,1,1,4,11,hibernating
342,211.0,1.0,1351.4499999999998,1,1,4,11,hibernating
343,60.0,1.0,892.4700000000001,3,1,3,31,about_to_sleep
344,18.0,5.0,1386.0400000000002,4,4,4,44,loyal_customers
345,20.0,6.0,822.23,4,5,3,45,loyal_customers
346,38.0,8.0,3981.3599999999997,3,5,5,35,loyal_customers
347,64.0,2.0,823.8,3,2,3,32,about_to_sleep
348,5.0,5.0,2330.9200000000005,5,4,5,54,champions
349,3.0,6.0,1677.9899999999998,5,5,4,55,champions
350,10.0,2.0,532.8199999999999,5,2,3,52,potential_loyalists
351,365.0,1.0,311.95,1,1,2,11,hibernating
352,10.0,3.0,463.65999999999997,5,3,2,53,potential_loyalists
353,66.0,1.0,88.96000000000001,3,1,1,31,about_to_sleep
354,193.0,1.0,324.9200000000001,1,1,2,11,hibernating
355,374.0,1.0,192.60000000000002,1,1,1,11,hibernating
356,257.0,1.0,400.53999999999996,1,1,2,11,hibernating
357,335.0,2.0,545.48,1,2,3,12,hibernating
358,54.0,2.0,860.41,3,2,3,32,about_to_sleep
359,19.0,1.0,430.48,4,1,2,41,promising
360,366.0,1.0,254.03,1,1,2,11,hibernating
361,11.0,3.0,2327.91,5,3,5,53,potential_loyalists
362,187.0,1.0,427.58,1,1,2,11,hibernating
363,37.0,3.0,483.65000000000003,3,3,3,33,need_attention
364,178.0,1.0,489.31,2,1,3,21,hibernating
365,261.0,3.0,514.8499999999999,1,3,3,13,at_Risk
366,45.0,1.0,229.64,3,1,1,31,about_to_sleep
367,102.0,1.0,122.98,2,1,1,21,hibernating
368,148.0,2.0,1048.7599999999998,2,2,4,22,hibernating
369,96.0,2.0,560.49,2,2,3,22,hibernating
370,282.0,1.0,163.1,1,1,1,11,hibernating
371,262.0,1.0,1515.62,1,1,4,11,hibernating
372,4.0,4.0,942.34,5,4,4,54,champions
373,215.0,1.0,92.72,1,1,1,11,hibernating
374,71.0,2.0,948.8800000000002,3,2,4,32,about_to_sleep
375,75.0,5.0,1759.5,2,4,4,24,at_Risk
376,60.0,1.0,397.11999999999995,3,1,2,31,about_to_sleep
377,3.0,7.0,1474.72,5,5,4,55,champions
378,6.0,3.0,430.15,5,3,2,53,potential_loyalists
379,3.0,6.0,1018.71,5,5,4,55,champions
380,337.0,2.0,287.21999999999997,1,2,2,12,hibernating
381,38.0,6.0,5560.565000000001,3,5,5,35,loyal_customers
382,263.0,1.0,215.05,1,1,1,11,hibernating
383,33.0,2.0,383.03000000000003,4,2,2,42,potential_loyalists
384,146.0,1.0,417.38,2,1,2,21,hibernating
385,283.0,1.0,312.38,1,1,2,11,hibernating
386,60.0,4.0,2610.3599999999997,3,4,5,34,loyal_customers
387,174.0,1.0,134.1,2,1,1,21,hibernating
388,34.0,2.0,671.95,3,2,3,32,about_to_sleep
389,3.0,14.0,5591.42,5,5,5,55,champions
390,144.0,4.0,2726.77,2,4,5,24,at_Risk
391,5.0,25.0,3991.5800000000004,5,5,5,55,champions
392,71.0,2.0,1091.05,3,2,4,32,about_to_sleep
393,66.0,8.0,1702.2600000000002,3,5,4,35,loyal_customers
394,30.0,2.0,325.96,4,2,2,42,potential_loyalists
395,268.0,4.0,354.09,1,4,2,14,at_Risk
396,23.0,1.0,843.6399999999999,4,1,3,41,promising
397,32.0,2.0,1010.2900000000001,4,2,4,42,potential_loyalists
398,97.0,1.0,131.80999999999997,2,1,1,21,hibernating
399,295.0,1.0,311.55,1,1,2,11,hibernating
400,135.0,6.0,1957.1000000000004,2,5,4,25,cant_loose
401,79.0,3.0,1316.2500000000002,2,3,4,23,at_Risk
402,373.0,1.0,38.1,1,1,1,11,hibernating
403,8.0,6.0,2170.7799999999997,5,5,5,55,champions
404,211.0,2.0,1106.4,1,2,4,12,hibernating
405,53.0,1.0,521.2,3,1,3,31,about_to_sleep
406,139.0,1.0,147.12,2,1,1,21,hibernating
407,27.0,2.0,1568.23,4,2,4,42,potential_loyalists
408,284.0,1.0,559.12,1,1,3,11,hibernating
409,27.0,7.0,4009.3399999999997,4,5,5,45,loyal_customers
410,186.0,6.0,1607.0600000000002,1,5,4,15,cant_loose
411,85.0,2.0,380.64000000000004,2,2,2,22,hibernating
412,327.0,2.0,599.9700000000001,1,2,3,12,hibernating
413,283.0,1.0,374.0,1,1,2,11,hibernating
414,144.0,2.0,100.215,2,2,1,22,hibernating
415,58.0,2.0,2218.020000000001,3,2,5,32,about_to_sleep
416,4.0,12.0,1535.7700000000002,5,5,4,55,champions
417,237.0,2.0,854.99,1,2,3,12,hibernating
418,45.0,3.0,573.22,3,3,3,33,need_attention
419,276.0,1.0,140.06,1,1,1,11,hibernating
420,10.0,2.0,1463.0399999999997,5,2,4,52,potential_loyalists
421,25.0,4.0,703.47,4,4,3,44,loyal_customers
422,89.0,1.0,213.17000000000002,2,1,1,21,hibernating
423,64.0,3.0,1175.2199999999998,3,3,4,33,need_attention
424,68.0,2.0,1378.3999999999999,3,2,4,32,about_to_sleep
425,215.0,2.0,354.12,1,2,2,12,hibernating
426,25.0,1.0,376.71999999999997,4,1,2,41,promising
427,186.0,3.0,228.49,1,3,1,13,at_Risk
428,31.0,1.0,176.54999999999998,4,1,1,41,promising
429,43.0,2.0,372.8,3,2,2,32,about_to_sleep
430,205.0,2.0,216.5,1,2,1,12,hibernating
431,9.0,28.0,10660.025,5,5,5,55,champions
432,265.0,1.0,138.67999999999998,1,1,1,11,hibernating
433,19.0,2.0,496.06,4,2,3,42,potential_loyalists
434,12.0,5.0,2919.81,5,4,5,54,champions
435,177.0,2.0,373.125,2,2,2,22,hibernating
436,40.0,5.0,1834.85,3,4,4,34,loyal_customers
437,24.0,8.0,3075.0400000000004,4,5,5,45,loyal_customers
438,3.0,5.0,1662.3,5,4,4,54,champions
439,5.0,5.0,2483.6299999999997,5,4,5,54,champions
440,149.0,2.0,363.65,2,2,2,22,hibernating
441,139.0,4.0,2944.95,2,4,5,24,at_Risk
442,129.0,1.0,594.0,2,1,3,21,hibernating
443,9.0,6.0,1335.19,5,5,4,55,champions
444,18.0,1.0,162.77999999999997,4,1,1,41,promising
445,10.0,37.0,16587.09,5,5,5,55,champions
446,162.0,1.0,405.38,2,1,2,21,hibernating
447,65.0,1.0,172.81999999999996,3,1,1,31,about_to_sleep
448,89.0,4.0,933.7000000000002,2,4,4,24,at_Risk
449,5.0,2.0,694.05,5,2,3,52,potential_loyalists
450,36.0,5.0,2062.7,3,4,5,34,loyal_customers
451,312.0,1.0,117.85,1,1,1,11,hibernating
452,79.0,2.0,415.8,2,2,2,22,hibernating
453,22.0,15.0,29897.499999999996,4,5,5,45,loyal_customers
454,25.0,3.0,607.53,4,3,3,43,potential_loyalists
455,3.0,7.0,2160.7,5,5,5,55,champions
456,18.0,4.0,1063.8999999999999,4,4,4,44,loyal_customers
457,16.0,4.0,1504.2700000000002,4,4,4,44,loyal_customers
458,26.0,1.0,114.13999999999999,4,1,1,41,promising
459,65.0,8.0,11578.875000000002,3,5,5,35,loyal_customers
460,55.0,2.0,899.69,3,2,3,32,about_to_sleep
461,132.0,3.0,675.6,2,3,3,23,at_Risk
462,36.0,2.0,604.5099999999999,3,2,3,32,about_to_sleep
463,289.0,1.0,462.95000000000005,1,1,2,11,hibernating
464,144.0,6.0,1548.1100000000001,2,5,4,25,cant_loose
